mm	milliméadar
cm	ceintiméadar
cm²	ceintiméadar cearnaithe
cm³	ceintiméadar ciúbach
ceintiméadar	ceintiméadar
m	em
m²	méadar cearnaithe
m³	méadar ciúbach
méadar	méadar
mg	milleagram
kg	cileagram
kgm	cileagram
cileagram	cileagram
km	ciliméadar
km²	ciliméadar cearnaithe
km³	ciliméadar ciúbach
ciliméadar	ciliméadar
%	faoin gcéad
h	uair
u	uair
uair	uair
gb	gigibheart
gigi-bheart	gigibheart
mb	meigibheart
meigi-bheart	meigibheart
l	lítear
lítear	lítear
min	nóiméad
mion	nóiméad
nóiméad	nóiméad
s	soicind
sec	soicind
soicind	soicind
t	tona
tona	tona
mph	míle san uair
msu	míle san uair
gm	gram
g	gram
gram	gram
yd	slat
slat	slat
punt	punt
oz	unsa
unsa	unsa
lb	punt
ft	troigh
ft²	troigh cearnaithe
ft³	troigh ciúbach
troigh	troigh
tr	troigh
tr²	troigh cearnaithe
tr³	troigh ciúbach
in	orlach
orlach	orlach
míle	míle
kbps	cilibit sa soicind
mbps	meigibit sa soicind
st	cloch
cloch	cloch
gl	galún
galún	galún
gls	galún
bbl	bairille
bairille	bairille
bu	buiséal
buiséal	buiséal
w	vata
vata	vata
mw	meigeavata
meigeavata	meigeavata
hz	heirts
heirts	heirts
mhz	meigiheirts
meigiheirts	meigiheirts
ghz	gigahertz
gigahertz	gigahertz
p	pingin
pingin	pingin
kw	cileavata
cileavata	cileavata
kwh	cileavata san uair
kj	ciligiúl
ciligiúl	ciligiúl
mol	mól
mól	mól
cc	c c
c	céim celsius
°	céim
